Radiopaedia embedding 50 dimensions
['#Benign_malignant']
['benign', 'malignant', 'fibroma', 'fibrosarcoma']   ('ossifying', 0.8148632689545494)
['benign', 'malignant', 'fibroma', 'fibrosarcoma']   ('chondromyxoid', 0.7706505593766214)
['benign', 'malignant', 'fibroma', 'fibrosarcoma']   ('somatostatinoma', 0.7021095352232763)
['benign', 'malignant', 'myxoma', 'myxosarcoma']   ('leadless', 0.6503593373093393)
['benign', 'malignant', 'myxoma', 'myxosarcoma']   ('fibroelastoma', 0.6426178115086973)
['benign', 'malignant', 'myxoma', 'myxosarcoma']   ('output', 0.6316145492339812)
['benign', 'malignant', 'lipoma', 'liposarcoma']   ('liposarcoma', 0.7342570898883991)
['benign', 'malignant', 'chondroma', 'chondrosarcoma']   ('homograft', 0.6341704342359905)
['benign', 'malignant', 'chondroma', 'chondrosarcoma']   ('acinus', 0.634152105544304)
['benign', 'malignant', 'chondroma', 'chondrosarcoma']   ('parosteal', 0.6156795294355958)
['benign', 'malignant', 'osteoma', 'osteosarcoma']   ('osteoblastoma', 0.797410019076133)
['benign', 'malignant', 'osteoma', 'osteosarcoma']   ('osteoid', 0.7787689083750017)
['benign', 'malignant', 'osteoma', 'osteosarcoma']   ('woven', 0.6714197828499429)
['benign', 'malignant', 'lymphangioma', 'lymphangiosarcoma']   ('hygroma', 0.6618259407789779)
['benign', 'malignant', 'lymphangioma', 'lymphangiosarcoma']   ('steatosis', 0.6346636980426488)
['benign', 'malignant', 'lymphangioma', 'lymphangiosarcoma']   ('microvenular', 0.6296755887828167)
['benign', 'malignant', 'leiomyoma', 'leiomyosarcoma']   ('uterine', 0.7387959304259296)
['benign', 'malignant', 'leiomyoma', 'leiomyosarcoma']   ('adenomyosis', 0.7028647025970932)
['benign', 'malignant', 'leiomyoma', 'leiomyosarcoma']   ('leiomyosarcoma', 0.6942131964946686)
['benign', 'malignant', 'rhabdomyoma', 'rhabdomyosarcoma']   ('ventricleincreased', 0.6187295936448244)
['benign', 'malignant', 'rhabdomyoma', 'rhabdomyosarcoma']   ('phasicity', 0.60972425724343)
['benign', 'malignant', 'rhabdomyoma', 'rhabdomyosarcoma']   ('leadless', 0.6035282184211705)
['benign', 'malignant', 'adenoma', 'adenocarcinoma']   ('hepatocellular', 0.77789685281591)
['benign', 'malignant', 'adenoma', 'adenocarcinoma']   ('pleomorphic', 0.7611285957993146)
['benign', 'malignant', 'adenoma', 'adenocarcinoma']   ('hcc', 0.7237751773335098)
['fibroma', 'fibrosarcoma', 'myxoma', 'myxosarcoma']   ('rhabdomyoma', 0.6438351830032792)
['fibroma', 'fibrosarcoma', 'myxoma', 'myxosarcoma']   ('shocks', 0.635729438849676)
['fibroma', 'fibrosarcoma', 'myxoma', 'myxosarcoma']   ('pacemakers', 0.6276280865861771)
['fibroma', 'fibrosarcoma', 'lipoma', 'liposarcoma']   ('liposarcoma', 0.6660050864258654)
['fibroma', 'fibrosarcoma', 'chondroma', 'chondrosarcoma']   ('echinococcosis', 0.6318250997051964)
['fibroma', 'fibrosarcoma', 'chondroma', 'chondrosarcoma']   ('perifissural', 0.562684930447149)
['fibroma', 'fibrosarcoma', 'chondroma', 'chondrosarcoma']   ('chondromas', 0.5616900761397007)
['fibroma', 'fibrosarcoma', 'osteoma', 'osteosarcoma']   ('osteoid', 0.6247534941865674)
['fibroma', 'fibrosarcoma', 'osteoma', 'osteosarcoma']   ('woven', 0.570830827844229)
['fibroma', 'fibrosarcoma', 'osteoma', 'osteosarcoma']   ('osteosarcoma', 0.5706296890326826)
['fibroma', 'fibrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('hemangioma', 0.5382790764008492)
['fibroma', 'fibrosarcoma', 'lymphangioma', 'lymphangiosarcoma']   ('mha', 0.5351111748507208)
