#Benign_malignant
benign,malignant,fibroma,fibrosarcoma
benign,malignant,myxoma,myxosarcoma
benign,malignant,lipoma,liposarcoma
benign,malignant,chondroma,chondrosarcoma
benign,malignant,osteoma,osteosarcoma
benign,malignant,lymphangioma,lymphangiosarcoma
benign,malignant,leiomyoma,leiomyosarcoma
benign,malignant,rhabdomyoma,rhabdomyosarcoma
benign,malignant,adenoma,adenocarcinoma
fibroma,fibrosarcoma,myxoma,myxosarcoma
fibroma,fibrosarcoma,lipoma,liposarcoma
fibroma,fibrosarcoma,chondroma,chondrosarcoma
fibroma,fibrosarcoma,osteoma,osteosarcoma
fibroma,fibrosarcoma,lymphangioma,lymphangiosarcoma
fibroma,fibrosarcoma,leiomyoma,leiomyosarcoma
fibroma,fibrosarcoma,rhabdomyoma,rhabdomyosarcoma
fibroma,fibrosarcoma,adenoma,adenocarcinoma
myxoma,myxosarcoma,lipoma,liposarcoma
myxoma,myxosarcoma,chondroma,chondrosarcoma
myxoma,myxosarcoma,osteoma,osteosarcoma
myxoma,myxosarcoma,lymphangioma,lymphangiosarcoma
myxoma,myxosarcoma,leiomyoma,leiomyosarcoma
myxoma,myxosarcoma,rhabdomyoma,rhabdomyosarcoma
myxoma,myxosarcoma,adenoma,adenocarcinoma
lipoma,liposarcoma,chondroma,chondrosarcoma
lipoma,liposarcoma,osteoma,osteosarcoma
lipoma,liposarcoma,lymphangioma,lymphangiosarcoma
lipoma,liposarcoma,leiomyoma,leiomyosarcoma
lipoma,liposarcoma,rhabdomyoma,rhabdomyosarcoma
lipoma,liposarcoma,adenoma,adenocarcinoma
chondroma,chondrosarcoma,osteoma,osteosarcoma
chondroma,chondrosarcoma,lymphangioma,lymphangiosarcoma
chondroma,chondrosarcoma,leiomyoma,leiomyosarcoma
chondroma,chondrosarcoma,rhabdomyoma,rhabdomyosarcoma
chondroma,chondrosarcoma,adenoma,adenocarcinoma
osteoma,osteosarcoma,lymphangioma,lymphangiosarcoma
osteoma,osteosarcoma,leiomyoma,leiomyosarcoma
osteoma,osteosarcoma,rhabdomyoma,rhabdomyosarcoma
osteoma,osteosarcoma,adenoma,adenocarcinoma
lymphangioma,lymphangiosarcoma,leiomyoma,leiomyosarcoma
lymphangioma,lymphangiosarcoma,rhabdomyoma,rhabdomyosarcoma
lymphangioma,lymphangiosarcoma,adenoma,adenocarcinoma
leiomyoma,leiomyosarcoma,rhabdomyoma,rhabdomyosarcoma
leiomyoma,leiomyosarcoma,adenoma,adenocarcinoma
rhabdomyoma,rhabdomyosarcoma,adenoma,adenocarcinoma
#Body_cavity
heart,thorax,stomach,abdomen
heart,thorax,colon,abdomen
heart,thorax,duodenum,abdomen
heart,thorax,jejunum,abdomen
heart,thorax,ileum,abdomen
heart,thorax,pancreas,abdomen
heart,thorax,liver,abdomen
heart,thorax,appendix,abdomen
heart,thorax,spleen,abdomen
heart,thorax,bladder,pelvis
heart,thorax,uterus,pelvis
lung,thorax,stomach,abdomen
lung,thorax,colon,abdomen
